movie,rating,Release_Year,Cast
Last Action Hero,6.5,1993,"Arnold Schwarzenegger, F. Murray Abraham, Art Carney"
Looney Tunes: Back in Action,5.8,2003,"Brendan Fraser, Jenna Elfman, Steve Martin"
A Civil Action,6.6,1998,"John Travolta, Robert Duvall, Kathleen Quinlan"
An Action Hero,7.1,2022,"Ayushmann Khurrana, Jaideep Ahlawat, Neeraj Madhav"
Missing in Action,5.4,1984,"Chuck Norris, M. Emmet Walsh, David Tress"
Action Point,5.1,2018,"Johnny Knoxville, Eleanor Worthington-Cox, Chris Pontius"
Action Jackson,5.5,1988,"Carl Weathers, Craig T. Nelson, Vanity"
321 Action,1.0,2020,"Rakan Abdulwahed, Dyler, Majed Fawaz"
Missing in Action 2: The Beginning,5.3,1985,"Chuck Norris, Soon-Tek Oh, Steven Williams"
Class Action,6.4,1991,"Gene Hackman, Mary Elizabeth Mastrantonio, Colin Friels"
