Movie,Rating,Release Year,Cast
Enter the Anime,2.6,2019,"Shinji Aramaki, Kôzô Morishita, Tania Nolan"
Tokyo Ghoul: Re - Anime,7.9,2018,"Osric Chau, Justin Chu Cary, Dax Li"
Anime Supremacy!,6.7,2022,"Riho Yoshioka, Tomoya Nakamura, Tasuku Emoto"
Acide animé,7.1,1999,"Ludivine Sagnier, Didier Bénureau, Droopy"
Anime: Drawing a Revolution,6.6,2007,"Christine M. Auten, Dante Basco, Colin Brady"
Anime Talk Show,8.4,2004,"George Lowe, Dave Willis, Unknown Hinson"
Scrolls to Screen: A Brief History of Anime,7.0,2003,"Peter Chung, Joel Silver, Hiroaki Takeuchi, Shin'ichirô Watanabe"
X-Men Anime: A Team of Outsiders,7.4,2012,"Megan Thomas Bradner, Warren Ellis, Cort Lane, Jeph Loeb"
Journal animé,6.6,2016,N/A
The Anime Arc,7.7,2019,"Kevin Lerdwichagul, Luke Lerdwichagul, Microsoft Mike"
