Movie,Rating,Release Year,Cast
The King of Comedy,7.8,1982,"Robert De Niro, Jerry Lewis, Diahnne Abbott"
A Midsummer Night's Sex Comedy,6.6,1982,"Woody Allen, Mia Farrow, José Ferrer"
Fear City: A Family-Style Comedy,7.5,1994,"Chantal Lauby, Alain Chabat, Dominique Farrugia"
The Broken Hearts Club: A Romantic Comedy,6.9,2000,"Timothy Olyphant, Dean Cain, Zach Braff"
King of Comedy,7.2,1999,"Stephen Chow, Karen Mok, Cecilia Cheung"
Louis C.K.: Live at the Comedy Store,7.8,2015,"Louis C.K., Jay London"
The Comedy of Terrors,6.6,1963,"Vincent Price, Peter Lorre, Boris Karloff"
The Original Kings of Comedy,6.8,2000,"Steve Harvey, D.L. Hughley, Cedric the Entertainer"
Comedy Central Roast of Charlie Sheen,7.7,2011,"Charlie Sheen, Seth MacFarlane, Kate Walsh"
The Comedy,6.3,2012,"Tim Heidecker, Eric Wareheim, James Murphy"
