Movie,Rating,Release Year,Cast
The Rocky Horror Picture Show,7.4,1975,"Tim Curry, Susan Sarandon, Barry Bostwick"
The Amityville Horror,5.9,2005,"Ryan Reynolds, Melissa George, Jimmy Bennett"
The Amityville Horror,5.9,2005,"Ryan Reynolds, Melissa George, Jimmy Bennett"
Horror of Dracula,7.2,1958,"Peter Cushing, Christopher Lee, Michael Gough"
A Classic Horror Story,5.7,2021,"Matilda Anna Ingrid Lutz, Francesco Russo, Peppino Mazzotta"
Horror Express,6.5,1972,"Christopher Lee, Peter Cushing, Alberto de Mendoza"
A Christmas Horror Story,5.8,2015,"William Shatner, George Buza, Rob Archer"
The Rocky Horror Picture Show: Let's Do the Time Warp Again,4.2,2016,"Ivy Levan, Victoria Justice, Staz Nair"
Little Horror Movie,4.0,2018,"Einar Kuusk, Rebecca Ramon, Rosine Young"
The Vault of Horror,6.5,1973,"Curd Jürgens, Terry-Thomas, Tom Baker"
