Movie,Rating,Release Year,Cast
Austin Powers: International Man of Mystery,7.0,1997,"Mike Myers, Elizabeth Hurley, Michael York"
Murder Mystery,6.0,2019,"Adam Sandler, Jennifer Aniston, Luke Evans"
Mystery Men,6.1,1999,"Ben Stiller, Janeane Garofalo, William H. Macy"
Murder Mystery 2,5.7,2023,"Adam Sandler, Jennifer Aniston, Mark Strong"
Manhattan Murder Mystery,7.3,1993,"Woody Allen, Diane Keaton, Jerry Adler"
Mystery Train,7.5,1989,"Masatoshi Nagase, Yûki Kudô, Screamin' Jay Hawkins"
"Mystery, Alaska",6.7,1999,"Russell Crowe, Burt Reynolds, Hank Azaria"
Mystery Science Theater 3000: The Movie,7.2,1996,"Trace Beaulieu, Michael J. Nelson, Jim Mallon"
Batman: Mystery of the Batwoman,6.7,2003,"Kevin Conroy, Kimberly Brooks, Kelly Ripa, Elisa Gabrielli"
Detective Dee: The Mystery of the Phantom Flame,6.6,2010,"Tony Ka Fai Leung, Chao Deng, Carina Lau"
