Movie,Rating,Release Year,Cast
The Tragedy of Macbeth,7.1,2021,"Denzel Washington, Frances McDormand, Alex Hassell"
Tragedy Girls,6.0,2017,"Brianna Hildebrand, Alexandra Shipp, Jack Quaid"
Guyana Tragedy: The Story of Jim Jones,7.5,1980,"Powers Boothe, Ned Beatty, Irene Cara"
Genuine: The Tragedy of a Vampire,5.9,1920,"Fern Andra, Hans Heinrich von Twardowski, Ernst Gronau"
Tragedy of a Ridiculous Man,6.5,1981,"Ugo Tognazzi, Anouk Aimée, Laura Morante"
The Tragedy of Man,8.0,2011,"Gyula Balázsi, Péter Benkö, Ágnes Bertalan"
Patton Oswalt: Tragedy Plus Comedy Equals Time,7.3,2014,Patton Oswalt
An American Tragedy,6.4,1931,"Phillips Holmes, Sylvia Sidney, Frances Dee"
Revengers Tragedy,6.5,2002,"Christopher Eccleston, Kevin Knapman, Michael Ryan"
A Greek Tragedy,5.3,1985,N/A
